资产账号,交易日（天）,日均权益（自然日）,日均权益(交易日),期末权益汇总
8831669,199,6.17,6.17,1227.83
8752990,199,1.230603015,1.230603015,244.89
8765716,199,13433.36633,13433.36633,2673239.9
8703890,199,12.46266332,12.46266332,2480.07
7011019,199,0,0,0
6023515,199,9.18,9.18,1826.82
8751751,199,1.78,1.78,354.22
8721822,199,2374.27,2374.27,472479.73
8703617,199,100,100,19900
8515253,199,63.38,63.38,12612.62
8100926,199,0,0,0
7321071,199,806.0317085,806.0317085,160400.31
7070266,199,14.39,14.39,2863.61
8710878,199,91.3,91.3,18168.7
6002615,199,9.56,9.56,1902.44
8100529,199,1.89,1.89,376.11
8722138,199,0,0,0
8731182,199,1.53,1.53,304.47
8727609,199,0,0,0
8753113,199,64202.5301,64202.5301,12776303.49
8731271,199,0,0,0
7222096,199,0,0,0
6016706,199,1.58,1.58,314.42
8758706,199,1,1,199
7536011,199,32.85,32.85,6537.15
8723537,199,0,0,0
7795008,199,12597.54226,12597.54226,2506910.91
8751000,199,0,0,0
8711378,199,168.38,168.38,33507.62
8680209,199,0,0,0
7933028,199,1.02,1.02,202.98
8759720,199,0,0,0
7098005,199,0.24,0.24,47.76
8715039,199,13.81,13.81,2748.19
8766736,199,0,0,0
8752038,199,4.1,4.1,815.9
8763718,199,1,1,199
8711391,199,0,0,0
8773271,199,2.91,2.91,579.09
8712096,199,4.67,4.67,929.33
8763610,199,10,10,1990
8718135,199,0,0,0
8716521,199,1652.21,1652.21,328789.79
